Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g)
paleo,Paleo Peach Crisp,french,-0.48614271077761456,-0.13579242245811077,-0.15970591282331312
paleo,Paleo Pumpkin Bars,american,-0.5230058761304609,0.16346186705176124,-0.10015982073764544
paleo,Paleo Honey Cake,american,0.04553327530845369,0.5708952642740821,1.1623483820250538
paleo,Paleo Carrot Soup,american,-0.6243517385808844,-0.19039301635574152,0.06398098880799159
paleo,Paleo Fruitcake recipes,american,0.03049844956031399,0.6431401880223759,0.7391370232813875
paleo,Best Paleo Chili,american,1.223706768564532,-0.36683631486237106,0.900247288938208
paleo,Perfect Paleo Pizza,italian,0.4481324981197518,-0.41137748899758125,0.9709326774800666
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,-0.508862003019248,-0.512133067687495,-0.5196853828597774
paleo,Paleo Chocolate Frosting recipes,american,-0.8459762070164262,-0.2148153509661104,1.2497427152511988
paleo,Paleo Eggplant Lasagna,italian,0.9904999158489416,0.18363450026517164,2.865432140948422
paleo,Paleo Pecan Tart Crust,american,-0.7025328324712112,-0.6840576963543207,-0.043726179132384024
paleo,Paleo Shepherd’s Pie,american,1.1818319946289721,-0.047732154270503244,1.5016054843893394
paleo,Paleo Pie Crust recipes,american,-0.29893128794337054,-0.5869600884871053,0.21739203485538589
paleo,Paleo Mug Cake recipes,british,-0.8102267324597382,-0.7131062881816317,-0.8586148588577045
paleo,Paleo Flourless Chocolate Cake,american,0.006554097442906158,1.2488033276218096,1.6955602932736047
paleo,Mini Paleo Egg Bites,american,0.3912228984360524,-0.7831456706985925,-0.4566992139273449
paleo,Egg-Free Paleo Macaroons,french,-0.8165747699978417,-0.28528508299162403,-0.055848354687650544
paleo,Paleo Raw Chocolate Bites,american,-0.4138641781069278,0.5889161499447289,0.24712412760242486
paleo,Paleo Mushroom Soup recipes,french,-0.25661103768934757,-0.21271739711191573,-0.5300875199916616
paleo,Paleo Birthday Cake recipes,american,-0.16729303583743582,0.257331853604831,0.3587628119391031
paleo,Paleo Avocado Tuna Salad,mexican,-0.5655488645437157,-0.6877694608655882,-0.7066781314589238
paleo,Paleo Honey Cake recipes,eastern europe,0.08462382225361713,0.572024931734033,1.1842174419794875
paleo,Paleo Pumpkin Bars recipes,american,-0.38123303777948375,1.39845736922103,-0.01063591613016973
paleo,Perfect Paleo Baked Salmon,nordic,0.8766807164815428,-0.8120328814601963,0.35630561419141404
paleo,Chocolate Mousse (Paleo! Keto!),french,-0.7016418798342844,-0.14047247336362192,0.29512139027395357
paleo,Crab + Avocado Temaki recipes,caribbean,0.061904530011983795,-0.642636556156118,-0.5057612622895388
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,-0.8194703660678537,-0.5890042486527309,-0.27363798172450127
paleo,Paleo Prosciutto Egg Cups,italian,-0.02540882840684271,-0.7842215444699744,-0.027426767406045747
paleo,Paleo Chicken Adobo recipes,mediterranean,0.44479142573127634,-0.48738797094571157,-0.07886410692433918
paleo,Cranberry Apple Stuffing,american,-0.39359500561684313,0.7197961942333354,-0.1931238021918859
paleo,Paleo Dirty Rice recipes,caribbean,-0.6298088234820611,-0.38394270782734313,-0.6712944838921997
paleo,Slow-Cooker Paleo Meatballs,eastern europe,0.694592271309628,-0.2682862774037902,0.22115973806850933
paleo,Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,italian,0.19499058015292453,-0.3230482523671283,1.9923078746028677
paleo,Paleo Pork Chili Verde,american,0.27250345956555627,-0.4524220733758003,-0.7260080870740787
paleo,Paleo Steak and Egg Salad,american,-0.2009264978814225,-0.726393329258198,-0.38789767699204797
paleo,Easy Paleo Beef with Broccoli,mediterranean,0.2145915381653142,-0.6117051852288887,-0.15135144048116997
paleo,Paleo Party Pork Carnitas,mexican,2.0679957611322917,-0.12503368474429188,1.776975445313706
paleo,Paleo Pecan Tart Crust recipes,american,-0.6927323534650164,-0.6837887279114752,-0.038238437495878186
paleo,Paleo Shepherd's Pie recipes,american,1.1818319946289721,-0.047732154270503244,1.5016054843893394
paleo,Paleo Vanilla Birthday Cake recipes,french,-0.13499600274883922,0.03866050957146235,0.2450764628126839
paleo,Egg-Free Paleo Macaroons recipes,french,-0.8137905430074456,-0.24972745484745262,-0.055848354687650544
paleo,Paleo Raw Chocolate Bites recipes,american,-0.4138641781069278,0.5889161499447289,0.24712412760242486
paleo,Perfect Paleo Pie Crust recipes,american,-0.43725168482625637,-0.2568820154271422,0.35630561419141404
paleo,Practical Paleo: Mint Chip Truffles,american,-0.8850667539615895,-0.6895446525883683,-0.30042143717431324
paleo,Cindy's Paleo Harvest Chili,american,1.4168207526184158,-0.06758202535249906,1.2711203356560943
paleo,Instant Pot Paleo Pork Tenderloin,french,3.1130832042474283,-0.7277919651609945,-0.436468285804704
paleo,Paleo Pecan-Crusted Chicken | everydaypaleo.com,american,1.9537310854464294,-0.5192876282671846,-0.1099067051368125
paleo,Entertain Meatloaf Style,american,1.2774980340189874,-0.44123298615342865,-0.05945224471759477
paleo,Semi-Homemade Paleo Spaghetti And Meatballs,italian,0.5045966214849877,1.1548795473801707,0.4045485966377114
paleo,Easy Paleo Herb Gravy recipes,french,-0.6645559763222063,-0.6082623891604667,-0.6149427488785278
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,-0.8956468165250953,-0.8123556435916107,-0.038647970453826355
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,-0.807442505469342,-0.734946525740684,-0.5572805083994218
paleo,Paleo Un-Stuffed Cabbage Soup,italian,0.646369459835965,-0.5180503734300954,0.6667315963161465
paleo,Sweet Potato Chili (Paleo-Friendly!),american,0.17071212079666928,0.21074651930399532,0.48817522665073315
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,-0.6298088234820611,-0.38394270782734313,-0.6712944838921997
paleo,Spicy Paleo Pumpkin Muffins recipes,british,0.4299793381423683,1.4083554079177436,1.6386352121188055
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,-0.6066440549219643,-0.5493045064887393,-0.5671092993901785
paleo,Paleo Beef and Sweet Potato Stew,american,1.309572328948352,0.009127774547029484,-0.1204726554518759
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,-0.8175770917143844,0.3343106219472051,-0.9360984945015032
paleo,Madras Chicken Salad recipes,mediterranean,0.7455993097736875,-0.5958360471010059,0.05259597257703173
paleo,Slow Cooker Cheater Pork Stew recipes,french,1.7936937180384525,-0.4447833695989889,1.0858476254803304
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,-0.5678876152156485,0.5311955221100906,0.17955118954097252
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,-0.5791358922568494,-0.4150354598202797,-0.005393894268432816
paleo,The Paleo Diet’s Salmon Caesar Salad Recipe,nordic,0.8098592687120327,-0.5530700646885759,0.26964844028957563
paleo,"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,-0.5669966625787217,0.02833212136619614,0.6288907510017334
paleo,Southwest Cowboy Chili From 'Nom Nom Paleo',american,3.8641562771767215,-0.07398347429222127,0.49833164400784824
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,13.257135821057132,-0.37001014248794767,12.214004785215073
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,-0.5622077921552402,-0.6963764510366433,-0.9409309834052919
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,-0.5260128412800888,-0.05020666394468162,-0.0785364805579807
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,0.5022578708130551,0.011279522089793291,0.06914110407813882
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,-0.1943557221840873,-0.300670077922385,0.11083155919726533
paleo,The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,french,0.7721051507222597,-0.5300463659810034,0.7210356665400774
paleo,Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,american,2.2325992608045175,-0.3957773193125439,1.1038670756300508
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,-0.8551084715449259,-0.4589849033812298,-0.6122398313560697
paleo,Orange Sriracha Chicken recipes,south east asian,0.23319017446116116,-0.3720005089650042,-0.4300795716607122
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,-0.7847232132277087,-0.2108884117005665,-0.4954410317492442
paleo,Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,american,-0.10470361309332801,0.1800303231310424,1.5573019666702936
paleo,"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",american,1.2771639267801398,0.8608432456615007,2.0818317792103436
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,0.21425743092646662,-0.5405361352519769,-0.5119861632503514
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,-0.7681292203649469,-0.39298004750695104,-0.06387520066343522
paleo,Dill Butternut Squash Fries,american,-0.8414100747521762,-0.3384870409864584,-0.8432164196388524
paleo,Crispy Sweet Potato Fries,south american,-0.8779391328661751,-0.516060006953039,-0.7247794882002341
paleo,Rosemary and Garlic Parsnip Mash,american,-0.8897442553054552,-0.5572659723969652,-0.8496051337828443
paleo,Four Layer Beef and Bacon Casserole,american,1.4522361199362561,-0.01325039989771376,1.484405100155515
paleo,Boston Baked Beef,american,0.5875665857987963,0.2244639098891143,0.9470159527358919
paleo,Nutella Brownie Truffles,french,-0.7909598816861961,-0.0009316452153911891,-0.1521705063970663
paleo,Best Ever Bars,american,-0.22798918422807407,0.23011224718886927,1.2232049795761557
paleo,Salmon Cakes,nordic,0.03428499826725293,-0.7582391928911019,-0.41672879723160094
paleo,Crockpot Italian Chicken and Peppers,italian,0.031612140356472425,-0.3614031523168926,-0.6084721281429463
paleo,Herbed Rack of Lamb,middle eastern,-0.5331404623755033,-0.7819622095500726,0.13507591030779836
paleo,Moroccan Braised Chicken and Kale,middle eastern,2.2320424154064384,-0.33423733958949997,1.5477188954543062
paleo,Roasted Tomato Soup,italian,-0.4890383068476266,-0.34117672541491306,-0.5435202010123624
paleo,Sweet Plantain Guacamole,south american,-0.7133356331939487,-0.09749131619691555,0.17512823359513208
paleo,Turkey Spaghetti Zoodles,american,0.4394457099097155,-0.29755004398537754,-0.5420458823637491
paleo,Celery Leaf & Fennel Poached Salmon,nordic,-0.565994340862179,-0.7255326302410925,-0.7604088555417271
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,0.4404480316262582,-0.022502914331597988,-0.5363943275440638
paleo,Asian Sesame Chicken & Broccoli,chinese,0.2721693523267087,-0.6464559080445237,-0.3856042924275381
paleo,Cauliflower Fried Rice,chinese,-0.4077388787280561,-0.3731301764249551,-0.5230435531149527
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,0.4238540387634966,-0.4444068137790052,-0.5551509370180913
paleo,Cinnamon Chocolate Swirl Banana Bread,american,-0.1615018436974115,0.6171040427549341,0.5382201541120025
paleo,Easy Pan Gravy,british,-0.9233777173494421,-0.7831456706985925,-0.8655769191428239
paleo,Salsa Fresca estilo Siete,mexican,-0.8719252025669193,-0.6378489178734686,-0.9519064666783036
paleo,Ginger Snap Pumpkin Butter Cookie Sandwiches,american,0.16202533258663296,0.47153832148696484,1.960200490699729
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,-0.46030508430673733,-0.4736705803605926,-0.6501625832620727
paleo,Apple Pumpkin Soup,american,-0.8161292936793784,-0.4711960706864142,-0.8007888051954192
paleo,Easy Vegan Pad Thai Supreme,american,0.16380723786048654,0.3531922066349572,0.4176536512920537
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,0.564513186318315,-0.7490404721457867,-0.20024967566018456
paleo,Angel Food Cake,american,-0.313409268293431,0.7090912502080856,-0.9198809893667547
paleo,Asian Chicken Salad,asian,-0.15170136469121676,-0.5780841298732048,0.0910101640325725
paleo,Roasted Beef Tenderloin,american,2.9697511987818292,-0.7614668142052475,0.10657241643460401
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,-0.5150986714777356,-0.6008926538265008,-0.48037021889675063
paleo,Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,0.10511573290293358,1.1049052106994819,-0.3969893086584979
paleo,Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,1.2008761072432825,-0.6835197594686298,0.16808426671842297
paleo,Artichoke Francaise,mediterranean,-0.52812885379279,-0.13498551712957432,-0.4460513570206918
paleo,Braised Short Rib Bolognese,italian,1.7758746652999164,-0.49760877177383955,4.01220632979496
paleo,Maialino's Olive Oil Cake (Adapted by Becca Fox),american,-0.12007254608031528,1.7610268301767262,2.874687585798051
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,0.39445260174491215,0.7954839140500511,-0.08091177171408016
paleo,Boneless Short Ribs on the BGE,french,3.4458540141395884,-0.7510308386228433,2.9125284311124644
paleo,Ribollita,italian,-0.18444387409827664,0.15114311236943867,-0.04634719006325242
paleo,Pear and Apple Coffeecake with Walnut Topping,british,-0.1600540456624055,0.8445975517136344,2.1902761064750256
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,-0.6751360388857122,-0.4493020394387928,-0.11007051831999175
paleo,Indian Spiced Broccoli and Potato Hash,nordic,-0.822365962137866,-0.5635598339595492,-0.8752418969504013
paleo,Vegan Dark Chocolate Coconut Tart,american,-0.5678876152156485,0.3710517112398965,-0.11293724902562907
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,0.6941467949911647,0.47363627534115943,-0.2308827409147096
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,-0.8645748433122732,-0.5681860911764914,-0.8107814093693552
paleo,Slow-Cooker 'Osso Buco' Stew,italian,1.4241711118730622,-0.3084163690763346,-0.4576001864348309
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,-0.48759050881262056,0.7195272257904899,-0.06420282702979382
paleo,Spiced Harvest Cake,british,-0.1927965550694654,1.6324061208080216,0.3355013399276455
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,-0.9165842034928751,-0.8017582869434992,-0.7618831741903406
paleo,Low Carb Paleo Egg Wrap Recipe,american,-0.7408437958590636,-0.6650147306008612,-0.8311761506751755
paleo,Paleo Nutella Banana Ice Cream,american,-0.8394054313190911,0.18320415075661897,-0.7144592576599395
paleo,Paleo Whole30 Pesto Chicken Salad,american,1.0439570740645499,-0.7607674962538493,0.7302092047981169
paleo,The Elvis Paleo Sandwich Recipe,american,-0.7184586108562778,-0.45177654911297116,-0.5180472510279847
paleo,Simple Paleo Reese’s Cups,american,-0.15225821008929596,0.0312907742374964,1.1469499428062016
paleo,Paleo Meatloaf recipes,american,1.4892106543687182,0.27761207419537953,0.49841355059943804
paleo,Paleo Nacho Casserole,mexican,0.8196597477182278,-0.3447809025490424,0.4117563766975996
paleo,Simple Paleo Coleslaw Dressing,mediterranean,-0.8516560300768344,-0.7268236787667508,-0.22531309268661417
paleo,Paleo Bread Stuffing recipes,american,-0.3148570663284371,0.30128129716578106,-0.5580176677237286
paleo,Paleo deviled egg recipe,french,-0.5623191612348559,-0.8017582869434992,-0.3940406713612709
paleo,Paleo Peppermint Bark,american,-0.5902728002184343,0.2110154877468407,0.9689669192819153
paleo,Paleo Chipotle Dipping Sauce,mexican,-0.9031085448593572,-0.7333865087721803,-0.00867015793201843
paleo,Paleo Wrap Carne Asada Recipe,mexican,0.8464996959056477,-0.4104629962919067,-0.44883618113473955
paleo,Homemade Paleo Protein Bars,american,3.1718860782845977,1.8739935761718245,0.7659204787311997
paleo,Paleo Tzatziki,mediterranean,-0.8955354474454795,-0.7265009166353362,-0.8469022162603862
paleo,Paleo Pecan Pie Bars recipes,american,0.24521803505967296,2.3782556128185153,4.775903389776755
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,-0.33746498949045467,-0.4111085205547358,0.11771171289079482
paleo,Gluten-Free Paleo Meatloaf recipes,eastern europe,0.9686715762442352,-0.0848497993831784,0.6519884098300116
paleo,Paleo Broccoli Salad recipes,american,-0.6735768717710903,-0.1459594295976696,0.24229163869863612
paleo,Healthy Paleo Marble Cake recipes,american,-0.45718675007749354,0.5013400249542431,-0.2212177631071322
paleo,Paleo Deviled Eggs recipes,french,0.05032214573193532,-0.7642102923222713,0.3743250643411346
paleo,Paleo Meatball Sub,american,-0.2916922977683403,-0.48125549044883487,-0.324993414651205
paleo,Paleo Egg Salad recipes,american,-0.5285743301112534,-0.655762216166977,-0.2355514166353191
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,-0.8904124697831504,-0.6424213814018416,-0.835107667071478
paleo,Smoky Paleo Deviled Eggs recipes,french,-0.5471729664071003,-0.7727634888047573,-0.39150156702199207
paleo,Paleo Barbecue Beef and Bacon recipes,american,0.34311145604200527,-0.01766148236037946,0.09354926837185135
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,-0.8879623500316016,-0.598794699972306,-0.9580494610475265
paleo,Paleo Sunbutter Cups recipes,french,-0.9258278371009907,-0.6446269226331746,-0.7346901857825804
paleo,Paleo Quiche Cups,french,-0.26563193313823136,-0.5831945302872686,-0.2860058770545368
paleo,Paleo Pecan Pie,american,-0.46720996724292,1.8558651031240396,1.3806294486114419
paleo,Paleo Smoked Tuna Salad recipes,american,-0.6504121032109934,-0.7119766207216807,-0.2212177631071322
paleo,Paleo Lemon Mousse,french,-0.7284818280217044,-0.39959667120094955,-0.2719998498927084
paleo,Paleo Aioli Salad Dressing,mediterranean,-0.9210389666775091,-0.8058466072747504,-0.5959404196297315
paleo,Paleo Flourless Chocolate Cake recipes,american,-0.03064317514878765,1.357412784842811,2.3988921952538367
paleo,Paleo Flourless Chocolate Cake,american,-0.31262968473612013,-0.15311399017735916,1.0400618407817221
paleo,Paleo Chicken Salad with Dates & Walnuts {Whole30} recipes,mediterranean,0.16035479639239514,-0.3417684559891731,-0.15831350076628925
paleo,Paleo Blackberry Muffins recipes,american,-0.44270876972743306,-0.38060749913605924,-0.23661620232598435
paleo,Paleo Crockpot Cashew Chicken recipes,italian,0.9141007272324686,-0.39534696980399114,0.8482366032787869
paleo,Paleo Blackberry Instant Pot Cobbler,french,-0.5593121960852281,0.7285645654700978,-0.02185711917795034
paleo,Paleo Banana Bread French Toast,french,-0.6905049718726994,0.2742768655040958,-0.6124855511308387
paleo,Three-Ingredient Paleo Chocolate Truffles,french,-0.6660037743572125,0.1702936655000363,0.6835224475920226
paleo,Toasted Egg Fiesta Paleo Wrap (Ketogenic),american,-0.7719157690718859,-0.6422062066475652,-0.7436999108574407
paleo,Paleo Beef Stroganoff,eastern europe,1.4689414818786337,-0.6212804617941876,-0.4036237425772587
paleo,Paleo Whole30 Classic Egg Salad recipes,american,-0.24202168825967116,-0.7721717582304972,0.5536185933308547
paleo,Easy Paleo Meatloaf with Bacon,american,1.3406443021611745,-0.6915350190654248,0.4020094922984326
paleo,"Gluten Free Beef and Tomato {Chinese Style, Paleo Option} recipes",chinese,0.27395125760056227,-0.5163827690844536,-0.29436034939668
paleo,"Buffalo Ranch Chicken Salad Recipe {Paleo, Whole30 Compliant} recipes",american,0.6942581640707804,-0.6719003227377054,0.2911898738776507
paleo,Paleo Crock Pot Pulled Pork recipes,american,1.9141950621828026,-0.2842092092202421,0.4340349696099815
paleo,Papaya Chicken Paleo Wrap,british,-0.4731125284625601,-0.6374185683649158,-0.6720316432165064
paleo,Paleo Vegan Enchilada Casserole,american,0.1491065193511944,0.9652567951741131,-0.7852265527933878
paleo,"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,-0.7685746966834104,-0.6378489178734686,-0.6786660771352672
paleo,Paleo Bang Bang Shrimp recipes,japanese,0.09631757561328136,-0.8003596510407027,0.37538985003179987
paleo,"Creamy Roasted Sesame Dressing (Paleo, Whole30, Keto)",mediterranean,-0.8901897316239187,-0.7471038993572993,-0.48847897146412494
paleo,Paleo Ranch Dressing and Dip recipes,american,-0.9072292008051438,-0.7871264036527055,0.5960462077742879
paleo,Smoked Salmon Paleo Wrap Bites,nordic,-0.548175288123643,-0.37587365454197896,-0.7346901857825804
paleo,Paleo Meatloaf,american,2.2252489015498718,-0.3566155140342432,-0.06854387638404472
paleo,Dairy-free Paleo Ranch Dressing,american,-0.8642407360734257,-0.7599605909253129,0.8918109100044752
paleo,Paleo Banana Chip Muffins recipes,american,0.14030836206154218,-0.06559165887544254,0.5866269497414793
paleo,Creamy (yet Paleo) Cucumber Salad recipes,american,-0.8909693151812296,-0.7233270890097596,-0.5920089032334289
paleo,Bunless Paleo Chicken BLTs recipes,american,0.15868426019815748,-0.714504924084428,0.017212325010307648
paleo,"Frittata with Sweet Potato, Sausage and Caramelized Onions (Paleo, Grain-Free) recipes",italian,0.48310238911912873,-0.23084587015970054,0.5796648894563601
paleo,Paleo Tangy BBQ Pulled Pork,american,1.8005986009746353,0.5988679823300112,-0.45342295026375934
paleo,Paleo Crab Cakes recipes,french,0.16057753455162696,-0.71558079785581,-0.3353955517830893
paleo,Simple Paleo Coleslaw recipes,mediterranean,-0.7652336242949349,-0.38308200881023763,-0.22064441696600468
paleo,"3 Ingredient Chocolate Walnut Fudge (Paleo, Vegan, Gluten Free, Dairy-Free)",american,-0.3834604193718008,-0.13993453647793103,0.35122740551285636
paleo,Paleo Whole30 Chicken Salad recipes,american,0.981367651320442,-0.5253125213869232,1.377680811314215
paleo,Flourless Chocolate Peppermint Cake (Paleo and Low Carb) recipes,american,-0.4236646571131227,0.5541654271290938,-0.024723849883587667
paleo,Easy Paleo Fried Fish Sticks,french,0.25501851406586773,-0.5855614525843088,0.7968811703520833
paleo,Paleo Cheese-Stuffed Meatballs,american,0.23096279286884414,-0.37366811331064614,0.11214206466269953
paleo,"Paleo Shrimp, Bacon and Tomato Pasta Recip",italian,-0.12140897503570554,-0.5548990500999251,-0.3495653921280968
paleo,Primal Organic Chicken Recipe In A Paleo Wrap,american,-0.5140963497611929,-0.549089331734463,-0.6726868959492235
paleo,Paleo Vegan Cherry Garcia Ice Cream,american,-0.7430711774513806,0.5680441987799203,-0.5286132013430481
paleo,Paleo Peach-Blueberry Cobbler recipes,american,-0.4549593684851765,0.5021469302827796,0.35966378444658925
paleo,Paleo Sweet Potato Casserole,italian,-0.5034049181180713,4.892196060718003,0.6704173929376804
paleo,Paleo Crab Cakes,american,-0.5672194007379534,-0.7422624673860809,-0.08582616720945858
paleo,Cinnamon Raisin Paleo Bread Pudding recipes,british,-0.10058295714754152,0.9910777656872785,0.1843017718531717
paleo,Paleo Chicken Piccata,french,-0.4982819404557422,-0.21815055965739427,0.08462144988858064
paleo,Paleo Barbecue Chicken Casserole recipes,italian,2.0982881507878024,0.5746608224739187,1.3520440481466578
paleo,Baked Ranch Chicken Tenders (Paleo + Whole30),american,0.2487818456073801,-0.12089157072447157,0.23967062776776774
paleo,Chocolate Almond Buttercream Cups | PALEO,american,-0.6182264392020127,0.6932221120802028,0.17340819517174957
paleo,Paleo Broccoli Salad,american,-0.5583098743686854,-0.498469470790945,0.07659460391279609
paleo,Paleo Whole 30 Berry Chicken Salad,american,1.619512477519263,-0.6837887279114752,0.9934569901672174
paleo,"Cauliflower Fried ""Rice"" (Paleo)",chinese,-0.6320362050743781,-0.577062049790392,-0.8246236233480043
paleo,Paleo Pumpkin Bolognese,italian,0.005217668487516065,-0.5942222364439331,-0.1674051324327392
